volcano_number,volcano_name,eruption_number,vei,start_year,end_year,latitude,longitude,decade,country,region,subregion,elevation,tectonic_settings,volcano_type
357120,Villarrica,12180,1.0,2003-01-01,2004.0,-39.42,-71.93,2000.0,Chile,South America,Central Chile and Argentina,2847.0,Subduction zone / Continental crust (>25 km),Stratovolcano
251020,Manam,14932,1.0,2003-01-01,2003.0,-4.08,145.037,2000.0,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,1807.0,Subduction zone / Continental crust (>25 km),Stratovolcano
284200,Anatahan,18535,3.0,2003-01-01,2003.0,16.35,145.67,2000.0,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",790.0,Subduction zone / Crustal thickness unknown,Stratovolcano
290360,Chikurachki,18856,2.0,2003-01-01,2003.0,50.324,155.461,2000.0,Russia,Kuril Islands,Kuril Islands,1781.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352020,Guagua Pichincha,11500,1.0,2003-01-01,2003.0,-0.171,-78.598,2000.0,Ecuador,South America,Ecuador,4784.0,Subduction zone / Continental crust (>25 km),Stratovolcano
244000,Vailulu'u,14803,0.0,2003-01-01,,-14.215,-169.058,2000.0,United States,New Zealand to Fiji,Samoan and Wallis Islands,-592.0,Subduction zone / Oceanic crust (< 15 km),Submarine Volcano
357110,Llaima,12075,2.0,2003-01-01,2003.0,-38.692,-71.729,2000.0,Chile,South America,Central Chile and Argentina,3125.0,Subduction zone / Continental crust (>25 km),Stratovolcano
284110,Kita-Ioto,18394,0.0,2003-01-01,2003.0,25.424,141.284,2000.0,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",792.0,Subduction zone / Crustal thickness unknown,Stratovolcano
211060,Etna,13837,1.0,2003-01-01,2003.0,37.748,14.999,2000.0,Italy,Mediterranean and Western Asia,Italy,3295.0,Subduction zone / Continental crust (>25 km),Stratovolcano
272020,Kanlaon,16748,1.0,2003-01-01,2003.0,10.412,123.132,2000.0,Philippines,Philippines and SE Asia,Central Philippines,2435.0,Subduction zone / Continental crust (>25 km),Stratovolcano
282060,Kikai,17002,2.0,2003-01-01,2003.0,30.793,130.305,2000.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,704.0,Subduction zone / Oceanic crust (< 15 km),Caldera
283110,Asamayama,17809,1.0,2003-01-01,2003.0,36.406,138.523,2000.0,Japan,"Japan, Taiwan, Marianas",Honshu,2568.0,Subduction zone / Continental crust (>25 km),Complex Volcano
300250,Bezymianny,19380,2.0,2002-01-01,2002.0,55.972,160.595,2000.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,2882.0,Subduction zone / Continental crust (>25 km),Stratovolcano
266100,Lokon-Empung,16462,2.0,2002-01-01,2003.0,1.358,124.792,2000.0,Indonesia,Indonesia,Sulawesi,1580.0,Subduction zone / Continental crust (>25 km),Stratovolcano
272020,Kanlaon,16747,1.0,2002-01-01,2002.0,10.412,123.132,2000.0,Philippines,Philippines and SE Asia,Central Philippines,2435.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300260,Klyuchevskoy,19480,2.0,2002-01-01,2004.0,56.056,160.642,2000.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,4754.0,Subduction zone / Continental crust (>25 km),Stratovolcano
233020,"Fournaise, Piton de la",14383,2.0,2002-01-01,2002.0,-21.244,55.708,2000.0,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
256010,Tinakula,15208,1.0,2002-01-01,,-10.386,165.804,2000.0,Solomon Islands,Melanesia and Australia,Santa Cruz Islands,796.0,Subduction zone / Crustal thickness unknown,Stratovolcano
263100,Papandayan,15688,2.0,2002-01-01,2002.0,-7.32,107.73,2000.0,Indonesia,Indonesia,Java,2665.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352010,Reventador,11446,4.0,2002-01-01,2003.0,-0.077,-77.656,2000.0,Ecuador,South America,Ecuador,3562.0,Subduction zone / Continental crust (>25 km),Stratovolcano
251020,Manam,14931,2.0,2002-01-01,,-4.08,145.037,2000.0,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,1807.0,Subduction zone / Continental crust (>25 km),Stratovolcano
211060,Etna,13836,3.0,2002-01-01,2003.0,37.748,14.999,2000.0,Italy,Mediterranean and Western Asia,Italy,3295.0,Subduction zone / Continental crust (>25 km),Stratovolcano
355100,Lascar,11875,2.0,2002-01-01,2002.0,-23.37,-67.73,2000.0,Chile,South America,"Northern Chile, Bolivia and Argentina",5592.0,Subduction zone / Continental crust (>25 km),Stratovolcano
344040,Telica,10936,0.0,2002-01-01,,12.606,-86.84,2000.0,Nicaragua,México and Central America,Nicaragua,1036.0,Subduction zone / Continental crust (>25 km),Stratovolcano
